date,open,close,high,low,volume,code,market,name
2021-08-24,1.01,1.038,1.061,1.009,1883754.0,561800,sh,稀有金属ETF华富
2021-08-25,1.04,1.045,1.053,1.013,240033.0,561800,sh,稀有金属ETF华富
2021-08-26,1.043,1.058,1.069,1.036,273433.0,561800,sh,稀有金属ETF华富
2021-08-27,1.06,1.101,1.12,1.04,297037.0,561800,sh,稀有金属ETF华富
2021-08-30,1.129,1.134,1.15,1.08,386257.0,561800,sh,稀有金属ETF华富
2021-08-31,1.13,1.197,1.198,1.111,348193.0,561800,sh,稀有金属ETF华富
2021-09-01,1.2,1.109,1.227,1.095,898733.0,561800,sh,稀有金属ETF华富
2021-09-02,1.09,1.129,1.147,1.078,409695.0,561800,sh,稀有金属ETF华富
2021-09-03,1.115,1.069,1.131,1.05,395087.0,561800,sh,稀有金属ETF华富
2021-09-06,1.065,1.074,1.082,1.019,339414.0,561800,sh,稀有金属ETF华富
2021-09-07,1.07,1.106,1.115,1.05,339607.0,561800,sh,稀有金属ETF华富
2021-09-08,1.092,1.105,1.13,1.092,190436.0,561800,sh,稀有金属ETF华富
2021-09-09,1.104,1.134,1.135,1.098,268274.0,561800,sh,稀有金属ETF华富
2021-09-10,1.134,1.171,1.177,1.125,358236.0,561800,sh,稀有金属ETF华富
2021-09-13,1.172,1.177,1.196,1.141,203553.0,561800,sh,稀有金属ETF华富
2021-09-14,1.153,1.151,1.181,1.123,221226.0,561800,sh,稀有金属ETF华富
2021-09-15,1.15,1.162,1.175,1.136,159533.0,561800,sh,稀有金属ETF华富
2021-09-16,1.175,1.102,1.18,1.092,289496.0,561800,sh,稀有金属ETF华富
2021-09-17,1.102,1.061,1.102,1.023,262628.0,561800,sh,稀有金属ETF华富
2021-09-22,1.046,1.059,1.074,1.035,112616.0,561800,sh,稀有金属ETF华富
2021-09-23,1.066,1.06,1.082,1.052,105649.0,561800,sh,稀有金属ETF华富
2021-09-24,1.07,1.035,1.09,1.033,215393.0,561800,sh,稀有金属ETF华富
2021-09-27,1.029,0.964,1.03,0.947,323024.0,561800,sh,稀有金属ETF华富
2021-09-28,0.963,0.95,0.963,0.936,145859.0,561800,sh,稀有金属ETF华富
2021-09-29,0.938,0.902,0.947,0.895,193027.0,561800,sh,稀有金属ETF华富
2021-09-30,0.91,0.945,0.947,0.909,195028.0,561800,sh,稀有金属ETF华富
2021-10-08,0.959,0.931,0.965,0.925,106879.0,561800,sh,稀有金属ETF华富
2021-10-11,0.946,0.931,0.946,0.905,123361.0,561800,sh,稀有金属ETF华富
2021-10-12,0.935,0.902,0.935,0.888,166681.0,561800,sh,稀有金属ETF华富
2021-10-13,0.9,0.927,0.932,0.9,154896.0,561800,sh,稀有金属ETF华富
2021-10-14,0.924,0.934,0.942,0.919,100539.0,561800,sh,稀有金属ETF华富
2021-10-15,0.936,0.941,0.948,0.918,110633.0,561800,sh,稀有金属ETF华富
2021-10-18,0.945,0.969,0.972,0.938,155619.0,561800,sh,稀有金属ETF华富
2021-10-19,0.97,0.972,0.978,0.951,98837.0,561800,sh,稀有金属ETF华富
2021-10-20,0.96,0.979,0.998,0.95,132202.0,561800,sh,稀有金属ETF华富
2021-10-21,0.98,0.999,1.013,0.98,193700.0,561800,sh,稀有金属ETF华富
2021-10-22,0.999,0.974,1.008,0.972,97238.0,561800,sh,稀有金属ETF华富
2021-10-25,0.961,0.999,1.002,0.96,103304.0,561800,sh,稀有金属ETF华富
2021-10-26,1.01,1.012,1.027,1.001,141516.0,561800,sh,稀有金属ETF华富
2021-10-27,1.012,1.005,1.017,0.995,101601.0,561800,sh,稀有金属ETF华富
2021-10-28,1.005,0.953,1.005,0.946,165475.0,561800,sh,稀有金属ETF华富
2021-10-29,0.95,0.96,0.967,0.947,76901.0,561800,sh,稀有金属ETF华富
2021-11-01,0.96,0.937,0.973,0.936,86448.0,561800,sh,稀有金属ETF华富
2021-11-02,0.937,0.925,0.953,0.91,101926.0,561800,sh,稀有金属ETF华富
2021-11-03,0.931,0.928,0.931,0.901,116195.0,561800,sh,稀有金属ETF华富
2021-11-04,0.928,0.932,0.933,0.917,75054.0,561800,sh,稀有金属ETF华富
2021-11-05,0.928,0.922,0.947,0.922,92620.0,561800,sh,稀有金属ETF华富
2021-11-08,0.916,0.97,0.97,0.916,190560.0,561800,sh,稀有金属ETF华富
2021-11-09,0.976,0.969,0.976,0.959,87606.0,561800,sh,稀有金属ETF华富
2021-11-10,0.97,0.943,0.97,0.923,158292.0,561800,sh,稀有金属ETF华富
2021-11-11,0.942,0.943,0.945,0.929,77299.0,561800,sh,稀有金属ETF华富
2021-11-12,0.941,0.951,0.961,0.94,99489.0,561800,sh,稀有金属ETF华富
2021-11-15,0.95,0.924,0.95,0.916,142060.0,561800,sh,稀有金属ETF华富
2021-11-16,0.924,0.908,0.93,0.906,140839.0,561800,sh,稀有金属ETF华富
2021-11-17,0.917,0.953,0.955,0.911,257605.0,561800,sh,稀有金属ETF华富
2021-11-18,0.95,0.984,0.994,0.942,244414.0,561800,sh,稀有金属ETF华富
2021-11-19,0.979,0.975,0.982,0.963,426618.0,561800,sh,稀有金属ETF华富
2021-11-22,0.975,1.014,1.017,0.974,259416.0,561800,sh,稀有金属ETF华富
2021-11-23,1.03,1.014,1.04,1.013,141059.0,561800,sh,稀有金属ETF华富
2021-11-24,1.014,1.042,1.052,1.014,135866.0,561800,sh,稀有金属ETF华富
2021-11-25,1.043,1.054,1.062,1.035,168490.0,561800,sh,稀有金属ETF华富
2021-11-26,1.045,1.077,1.096,1.044,196734.0,561800,sh,稀有金属ETF华富
2021-11-29,1.054,1.085,1.089,1.045,110010.0,561800,sh,稀有金属ETF华富
2021-11-30,1.097,1.076,1.098,1.065,81728.0,561800,sh,稀有金属ETF华富
2021-12-01,1.07,1.063,1.074,1.046,87839.0,561800,sh,稀有金属ETF华富
2021-12-02,1.055,1.074,1.087,1.046,103575.0,561800,sh,稀有金属ETF华富
2021-12-03,1.068,1.069,1.075,1.048,69066.0,561800,sh,稀有金属ETF华富
2021-12-06,1.062,1.052,1.077,1.048,72678.0,561800,sh,稀有金属ETF华富
2021-12-07,1.057,1.025,1.063,1.007,81349.0,561800,sh,稀有金属ETF华富
2021-12-08,1.036,1.044,1.044,1.025,56076.0,561800,sh,稀有金属ETF华富
2021-12-09,1.054,1.04,1.054,1.035,47477.0,561800,sh,稀有金属ETF华富
2021-12-10,1.039,1.057,1.061,1.027,61295.0,561800,sh,稀有金属ETF华富
2021-12-13,1.045,1.061,1.062,1.043,46986.0,561800,sh,稀有金属ETF华富
